No Kode Pos,Kecamatan,Propinsi
43263,Campaka,Jawa Barat
43263,Campaka,Jawa Barat
43263,Campaka,Jawa Barat
43263,Campaka,Jawa Barat
43264,Sukanagara,Jawa Barat
43264,Sukanagara,Jawa Barat
43264,Sukanagara,Jawa Barat
43264,Sukanagara,Jawa Barat
43264,Sukanagara,Jawa Barat
43264,Sukanagara,Jawa Barat
43264,Sukanagara,Jawa Barat
43264,Sukanagara,Jawa Barat
43264,Sukanagara,Jawa Barat
43264,Sukanagara,Jawa Barat
43265,Takokak,Jawa Barat
43265,Takokak,Jawa Barat
43265,Takokak,Jawa Barat
43265,Takokak,Jawa Barat
43265,Takokak,Jawa Barat
43265,Takokak,Jawa Barat
43265,Takokak,Jawa Barat
43265,Takokak,Jawa Barat
43265,Takokak,Jawa Barat
43266,Pagelaran,Jawa Barat
43266,Pagelaran,Jawa Barat
43266,Pagelaran,Jawa Barat
43266,Pasirkuda,Jawa Barat
43266,Pagelaran,Jawa Barat
43266,Pasirkuda,Jawa Barat
43266,Pagelaran,Jawa Barat
43266,Pagelaran,Jawa Barat
43266,Pagelaran,Jawa Barat
43266,Pagelaran,Jawa Barat
43266,Pagelaran,Jawa Barat
43266,Pagelaran,Jawa Barat
43266,Pasirkuda,Jawa Barat
43266,Pagelaran,Jawa Barat
43266,Pasirkuda,Jawa Barat
43266,Pagelaran,Jawa Barat
43266,Pagelaran,Jawa Barat
43266,Pagelaran,Jawa Barat
43267,Tanggeung,Jawa Barat
43267,Tanggeung,Jawa Barat
43267,Pasirkuda,Jawa Barat
43267,Pasirkuda,Jawa Barat
43267,Tanggeung,Jawa Barat
43267,Tanggeung,Jawa Barat
43267,Pasirkuda,Jawa Barat
43267,Tanggeung,Jawa Barat
43267,Pasirkuda,Jawa Barat
43267,Tanggeung,Jawa Barat
43267,Pasirkuda,Jawa Barat
43267,Tanggeung,Jawa Barat
43267,Tanggeung,Jawa Barat
43267,Tanggeung,Jawa Barat
43267,Tanggeung,Jawa Barat
43267,Tanggeung,Jawa Barat
43267,Tanggeung,Jawa Barat
43268,Kadupandak,Jawa Barat
43268,Kadupandak,Jawa Barat
43268,Kadupandak,Jawa Barat
43268,Kadupandak,Jawa Barat
43268,Kadupandak,Jawa Barat
43268,Kadupandak,Jawa Barat
43268,Kadupandak,Jawa Barat
43268,Kadupandak,Jawa Barat
43268,Kadupandak,Jawa Barat
43268,Kadupandak,Jawa Barat
43268,Kadupandak,Jawa Barat
43268,Kadupandak,Jawa Barat
43268,Kadupandak,Jawa Barat
43268,Kadupandak,Jawa Barat
43269,Campaka Mulya,Jawa Barat
43269,Campaka Mulya,Jawa Barat
43269,Campaka Mulya,Jawa Barat
43269,Campaka Mulya,Jawa Barat
43269,Campaka Mulya,Jawa Barat
43271,Cibinong,Jawa Barat
43271,Cibinong,Jawa Barat
43271,Cibinong,Jawa Barat
43271,Cibinong,Jawa Barat
43271,Cibinong,Jawa Barat
43271,Cibinong,Jawa Barat
43271,Cibinong,Jawa Barat
43271,Cibinong,Jawa Barat
43271,Cibinong,Jawa Barat
43271,Cibinong,Jawa Barat
43271,Cibinong,Jawa Barat
43271,Cibinong,Jawa Barat
43271,Cibinong,Jawa Barat
43271,Cibinong,Jawa Barat
43272,Sindangbarang,Jawa Barat
43272,Sindangbarang,Jawa Barat
43272,Sindangbarang,Jawa Barat
43272,Sindangbarang,Jawa Barat
43272,Sindangbarang,Jawa Barat
43272,Sindangbarang,Jawa Barat
43272,Sindangbarang,Jawa Barat
43272,Sindangbarang,Jawa Barat
43272,Sindangbarang,Jawa Barat
43272,Sindangbarang,Jawa Barat
43272,Sindangbarang,Jawa Barat
43273,Agrabinta,Jawa Barat
43273,Agrabinta,Jawa Barat
43273,Agrabinta,Jawa Barat
43273,Leles,Jawa Barat
43273,Leles,Jawa Barat
43273,Agrabinta,Jawa Barat
43273,Agrabinta,Jawa Barat
43273,Leles,Jawa Barat
43273,Agrabinta,Jawa Barat
43273,Leles,Jawa Barat
43273,Leles,Jawa Barat
43273,Leles,Jawa Barat
43273,Agrabinta,Jawa Barat
43273,Leles,Jawa Barat
43273,Leles,Jawa Barat
43273,Leles,Jawa Barat
43273,Agrabinta,Jawa Barat
43273,Leles,Jawa Barat
43273,Leles,Jawa Barat
43273,Agrabinta,Jawa Barat
43273,Leles,Jawa Barat
43273,Agrabinta,Jawa Barat
43273,Agrabinta,Jawa Barat
43274,Naringgul,Jawa Barat
43274,Naringgul,Jawa Barat
43274,Naringgul,Jawa Barat
43274,Naringgul,Jawa Barat
43274,Naringgul,Jawa Barat
43274,Naringgul,Jawa Barat
43274,Naringgul,Jawa Barat
43274,Naringgul,Jawa Barat
43274,Naringgul,Jawa Barat
43274,Naringgul,Jawa Barat
43274,Naringgul,Jawa Barat
43275,Cidaun,Jawa Barat
43275,Cidaun,Jawa Barat
43275,Cidaun,Jawa Barat
43275,Cidaun,Jawa Barat
43275,Cidaun,Jawa Barat
43275,Cidaun,Jawa Barat
43275,Cidaun,Jawa Barat
43275,Cidaun,Jawa Barat
43275,Cidaun,Jawa Barat
43275,Cidaun,Jawa Barat
43275,Cidaun,Jawa Barat
43275,Cidaun,Jawa Barat
43275,Cidaun,Jawa Barat
43275,Cidaun,Jawa Barat
43281,Karangtengah,Jawa Barat
43281,Karangtengah,Jawa Barat
43281,Karangtengah,Jawa Barat
43281,Pacet,Jawa Barat
43281,Karangtengah,Jawa Barat
43281,Karangtengah,Jawa Barat
43281,Karangtengah,Jawa Barat
43281,Karangtengah,Jawa Barat
43281,Karangtengah,Jawa Barat
43281,Karangtengah,Jawa Barat
43281,Karangtengah,Jawa Barat
43281,Karangtengah,Jawa Barat
43281,Karangtengah,Jawa Barat
43281,Karangtengah,Jawa Barat
43281,Karangtengah,Jawa Barat
43281,Karangtengah,Jawa Barat
43281,Karangtengah,Jawa Barat
43282,Ciranjang,Jawa Barat
43282,Haurwangi,Jawa Barat
43282,Ciranjang,Jawa Barat
43282,Ciranjang,Jawa Barat
43282,Ciranjang,Jawa Barat
43282,Ciranjang,Jawa Barat
43282,Haurwangi,Jawa Barat
43282,Ciranjang,Jawa Barat
43282,Haurwangi,Jawa Barat
43282,Ciranjang,Jawa Barat
43282,Ciranjang,Jawa Barat
43282,Ciranjang,Jawa Barat
43283,Bojongpicung,Jawa Barat
43283,Bojongpicung,Jawa Barat
43283,Haurwangi,Jawa Barat
43283,Bojongpicung,Jawa Barat
43283,Haurwangi,Jawa Barat
43283,Bojongpicung,Jawa Barat
43283,Bojongpicung,Jawa Barat
43283,Bojongpicung,Jawa Barat
43283,Bojongpicung,Jawa Barat
43283,Haurwangi,Jawa Barat
43283,Bojongpicung,Jawa Barat
43283,Haurwangi,Jawa Barat
43283,Bojongpicung,Jawa Barat
43283,Bojongpicung,Jawa Barat
43283,Bojongpicung,Jawa Barat
43283,Haurwangi,Jawa Barat
43284,Sukaluyu,Jawa Barat
43284,Cijati,Jawa Barat
43284,Cijati,Jawa Barat
43284,Cijati,Jawa Barat
43284,Cijati,Jawa Barat
43284,Cikadu,Jawa Barat
43284,Cikadu,Jawa Barat
43284,Sukaluyu,Jawa Barat
43284,Cikadu,Jawa Barat
43284,Cikadu,Jawa Barat
43284,Sukaluyu,Jawa Barat
43284,Cikadu,Jawa Barat
43284,Cikadu,Jawa Barat
43284,Cijati,Jawa Barat
43284,Cikadu,Jawa Barat
43284,Sukaluyu,Jawa Barat
43284,Cijati,Jawa Barat
43284,Sukaluyu,Jawa Barat
43284,Cijati,Jawa Barat
43284,Sukaluyu,Jawa Barat
43284,Cijati,Jawa Barat
43284,Cikadu,Jawa Barat
43284,Sukaluyu,Jawa Barat
43284,Cijati,Jawa Barat
43284,Cijati,Jawa Barat
43284,Cikadu,Jawa Barat
43284,Cikadu,Jawa Barat
43284,Sukaluyu,Jawa Barat
43284,Sukaluyu,Jawa Barat
43284,Sukaluyu,Jawa Barat
43285,Cilaku,Jawa Barat
43285,Cilaku,Jawa Barat
43285,Cilaku,Jawa Barat
43285,Cilaku,Jawa Barat
43285,Cilaku,Jawa Barat
43285,Cilaku,Jawa Barat
43285,Cilaku,Jawa Barat
43285,Cilaku,Jawa Barat
43285,Cilaku,Jawa Barat
43285,Cilaku,Jawa Barat
43291,Cikalongkulon,Jawa Barat
43291,Cikalongkulon,Jawa Barat
43291,Cikalongkulon,Jawa Barat
43291,Cikalongkulon,Jawa Barat
43291,Cikalongkulon,Jawa Barat
43291,Cikalongkulon,Jawa Barat
43291,Cikalongkulon,Jawa Barat
43291,Cikalongkulon,Jawa Barat
43291,Cikalongkulon,Jawa Barat
43291,Cikalongkulon,Jawa Barat
43291,Cikalongkulon,Jawa Barat
43291,Cikalongkulon,Jawa Barat
43291,Cikalongkulon,Jawa Barat
43291,Cikalongkulon,Jawa Barat
43291,Cikalongkulon,Jawa Barat
43291,Cikalongkulon,Jawa Barat
43291,Cikalongkulon,Jawa Barat
43291,Cikalongkulon,Jawa Barat
43292,Mande,Jawa Barat
43292,Mande,Jawa Barat
43292,Mande,Jawa Barat
43292,Mande,Jawa Barat
43292,Mande,Jawa Barat
43292,Mande,Jawa Barat
43292,Mande,Jawa Barat
43292,Mande,Jawa Barat
43292,Mande,Jawa Barat
43292,Mande,Jawa Barat
43292,Mande,Jawa Barat
43292,Mande,Jawa Barat
53211,Cilacap Selatan,Jawa Tengah
53212,Cilacap Selatan,Jawa Tengah
53213,Cilacap Selatan,Jawa Tengah
53215,Cilacap Selatan,Jawa Tengah
53215,Cilacap Selatan,Jawa Tengah
53221,Cilacap Tengah,Jawa Tengah
53222,Wanareja,Jawa Tengah
53222,Cilacap Tengah,Jawa Tengah
53223,Cilacap Tengah,Jawa Tengah
53224,Cilacap Tengah,Jawa Tengah
53225,Cilacap Tengah,Jawa Tengah
53231,Cilacap Utara,Jawa Tengah
53232,Wanareja,Jawa Tengah
53232,Cilacap Utara,Jawa Tengah
53233,Cilacap Utara,Jawa Tengah
53234,Cilacap Utara,Jawa Tengah
53235,Cilacap Utara,Jawa Tengah
53252,Jeruklegi,Jawa Tengah
53252,Jeruklegi,Jawa Tengah
53252,Jeruklegi,Jawa Tengah
53252,Jeruklegi,Jawa Tengah
53252,Jeruklegi,Jawa Tengah
53252,Jeruklegi,Jawa Tengah
53252,Jeruklegi,Jawa Tengah
53252,Jeruklegi,Jawa Tengah
53252,Jeruklegi,Jawa Tengah
53252,Jeruklegi,Jawa Tengah
53252,Jeruklegi,Jawa Tengah
53252,Jeruklegi,Jawa Tengah
53252,Jeruklegi,Jawa Tengah
53253,Kawunganten,Jawa Tengah
53253,Kawunganten,Jawa Tengah
53253,Kawunganten,Jawa Tengah
53253,Kawunganten,Jawa Tengah
53253,Kawunganten,Jawa Tengah
53253,Kawunganten,Jawa Tengah
53253,Kawunganten,Jawa Tengah
53253,Kampung Laut,Jawa Tengah
53253,Kawunganten,Jawa Tengah
53253,Kawunganten,Jawa Tengah
53253,Kampung Laut,Jawa Tengah
53253,Kawunganten,Jawa Tengah
53253,Kawunganten,Jawa Tengah
53253,Kampung Laut,Jawa Tengah
53253,Kampung Laut,Jawa Tengah
53253,Kawunganten,Jawa Tengah
53254,Gandrungmangu,Jawa Tengah
53254,Gandrungmangu,Jawa Tengah
53254,Gandrungmangu,Jawa Tengah
53254,Gandrungmangu,Jawa Tengah
53254,Gandrungmangu,Jawa Tengah
53254,Gandrungmangu,Jawa Tengah
53254,Gandrungmangu,Jawa Tengah
53254,Gandrungmangu,Jawa Tengah
53254,Gandrungmangu,Jawa Tengah
53254,Gandrungmangu,Jawa Tengah
53254,Gandrungmangu,Jawa Tengah
53254,Gandrungmangu,Jawa Tengah
53254,Gandrungmangu,Jawa Tengah
53254,Gandrungmangu,Jawa Tengah
53255,Karangpucung,Jawa Tengah
53255,Karangpucung,Jawa Tengah
53255,Karangpucung,Jawa Tengah
53255,Karangpucung,Jawa Tengah
53255,Karangpucung,Jawa Tengah
53255,Karangpucung,Jawa Tengah
53255,Karangpucung,Jawa Tengah
53255,Karangpucung,Jawa Tengah
53255,Karangpucung,Jawa Tengah
53255,Karangpucung,Jawa Tengah
53255,Karangpucung,Jawa Tengah
53255,Karangpucung,Jawa Tengah
53255,Karangpucung,Jawa Tengah
53255,Karangpucung,Jawa Tengah
53256,Cimanggu,Jawa Tengah
53256,Cimanggu,Jawa Tengah
53256,Cimanggu,Jawa Tengah
53256,Cimanggu,Jawa Tengah
53256,Cimanggu,Jawa Tengah
53256,Cimanggu,Jawa Tengah
53256,Cimanggu,Jawa Tengah
53256,Cimanggu,Jawa Tengah
53256,Cimanggu,Jawa Tengah
53256,Cimanggu,Jawa Tengah
53256,Cimanggu,Jawa Tengah
53256,Cimanggu,Jawa Tengah
53256,Cimanggu,Jawa Tengah
53256,Cimanggu,Jawa Tengah
53256,Cimanggu,Jawa Tengah
53257,Majenang,Jawa Tengah
53257,Majenang,Jawa Tengah
53257,Majenang,Jawa Tengah
53257,Majenang,Jawa Tengah
53257,Majenang,Jawa Tengah
53257,Majenang,Jawa Tengah
53257,Majenang,Jawa Tengah
53257,Majenang,Jawa Tengah
53257,Majenang,Jawa Tengah
53257,Majenang,Jawa Tengah
53257,Majenang,Jawa Tengah
53257,Majenang,Jawa Tengah
53257,Majenang,Jawa Tengah
53257,Majenang,Jawa Tengah
53257,Majenang,Jawa Tengah
53257,Majenang,Jawa Tengah
53257,Majenang,Jawa Tengah
53261,Sidareja,Jawa Tengah
53261,Sidareja,Jawa Tengah
53261,Sidareja,Jawa Tengah
53261,Sidareja,Jawa Tengah
53261,Sidareja,Jawa Tengah
53261,Sidareja,Jawa Tengah
53261,Sidareja,Jawa Tengah
53261,Sidareja,Jawa Tengah
53261,Sidareja,Jawa Tengah
53261,Sidareja,Jawa Tengah
53262,Cipari,Jawa Tengah
53262,Cipari,Jawa Tengah
53262,Cipari,Jawa Tengah
53262,Cipari,Jawa Tengah
53262,Cipari,Jawa Tengah
53262,Cipari,Jawa Tengah
53262,Cipari,Jawa Tengah
53262,Cipari,Jawa Tengah
53262,Cipari,Jawa Tengah
53262,Cipari,Jawa Tengah
53262,Cipari,Jawa Tengah
53263,Kedungreja,Jawa Tengah
53263,Kedungreja,Jawa Tengah
53263,Kedungreja,Jawa Tengah
53263,Kedungreja,Jawa Tengah
53263,Kedungreja,Jawa Tengah
53263,Kedungreja,Jawa Tengah
53263,Kedungreja,Jawa Tengah
53263,Kedungreja,Jawa Tengah
53263,Kedungreja,Jawa Tengah
53263,Kedungreja,Jawa Tengah
53263,Kedungreja,Jawa Tengah
53264,Patimuan,Jawa Tengah
53264,Patimuan,Jawa Tengah
53264,Patimuan,Jawa Tengah
53264,Patimuan,Jawa Tengah
53264,Patimuan,Jawa Tengah
53264,Patimuan,Jawa Tengah
53264,Patimuan,Jawa Tengah
53265,Wanareja,Jawa Tengah
53265,Wanareja,Jawa Tengah
53265,Wanareja,Jawa Tengah
53265,Wanareja,Jawa Tengah
53265,Wanareja,Jawa Tengah
53265,Wanareja,Jawa Tengah
53265,Wanareja,Jawa Tengah
53265,Wanareja,Jawa Tengah
53265,Wanareja,Jawa Tengah
53265,Wanareja,Jawa Tengah
53265,Wanareja,Jawa Tengah
53265,Wanareja,Jawa Tengah
53265,Wanareja,Jawa Tengah
53265,Wanareja,Jawa Tengah
53266,Dayeuhluhur,Jawa Tengah
53266,Dayeuhluhur,Jawa Tengah
53266,Dayeuhluhur,Jawa Tengah
53266,Dayeuhluhur,Jawa Tengah
53266,Dayeuhluhur,Jawa Tengah
53266,Dayeuhluhur,Jawa Tengah
53266,Dayeuhluhur,Jawa Tengah
53266,Dayeuhluhur,Jawa Tengah
53266,Dayeuhluhur,Jawa Tengah
53266,Dayeuhluhur,Jawa Tengah
53266,Dayeuhluhur,Jawa Tengah
53266,Dayeuhluhur,Jawa Tengah
53266,Dayeuhluhur,Jawa Tengah
53266,Dayeuhluhur,Jawa Tengah
53271,Adipala,Jawa Tengah
53271,Adipala,Jawa Tengah
53271,Adipala,Jawa Tengah
53271,Adipala,Jawa Tengah
53271,Adipala,Jawa Tengah
53271,Adipala,Jawa Tengah
53271,Adipala,Jawa Tengah
53271,Adipala,Jawa Tengah
53271,Adipala,Jawa Tengah
53271,Adipala,Jawa Tengah
53271,Adipala,Jawa Tengah
53271,Adipala,Jawa Tengah
53271,Adipala,Jawa Tengah
53271,Adipala,Jawa Tengah
53271,Adipala,Jawa Tengah
53271,Adipala,Jawa Tengah
53272,Maos,Jawa Tengah
53272,Maos,Jawa Tengah
53272,Maos,Jawa Tengah
53272,Maos,Jawa Tengah
53272,Maos,Jawa Tengah
53272,Maos,Jawa Tengah
53272,Maos,Jawa Tengah
53272,Maos,Jawa Tengah
53272,Maos,Jawa Tengah
53272,Maos,Jawa Tengah
53273,Sampang,Jawa Tengah
53273,Sampang,Jawa Tengah
53273,Sampang,Jawa Tengah
53273,Sampang,Jawa Tengah
53273,Sampang,Jawa Tengah
53273,Sampang,Jawa Tengah
53273,Sampang,Jawa Tengah
53273,Sampang,Jawa Tengah
53273,Sampang,Jawa Tengah
53273,Sampang,Jawa Tengah
53274,Kesugihan,Jawa Tengah
53274,Kesugihan,Jawa Tengah
53274,Kesugihan,Jawa Tengah
53274,Kesugihan,Jawa Tengah
53274,Kesugihan,Jawa Tengah
53274,Kesugihan,Jawa Tengah
53274,Kesugihan,Jawa Tengah
53274,Kesugihan,Jawa Tengah
53274,Kesugihan,Jawa Tengah
53274,Kesugihan,Jawa Tengah
53274,Kesugihan,Jawa Tengah
53274,Kesugihan,Jawa Tengah
53274,Kesugihan,Jawa Tengah
53274,Kesugihan,Jawa Tengah
53274,Kesugihan,Jawa Tengah
53274,Kesugihan,Jawa Tengah
53281,Binangun,Jawa Tengah
53281,Binangun,Jawa Tengah
53281,Bantarsari,Jawa Tengah
53281,Bantarsari,Jawa Tengah
53281,Binangun,Jawa Tengah
53281,Bantarsari,Jawa Tengah
53281,Bantarsari,Jawa Tengah
53281,Bantarsari,Jawa Tengah
53281,Binangun,Jawa Tengah
53281,Binangun,Jawa Tengah
53281,Binangun,Jawa Tengah
53281,Bantarsari,Jawa Tengah
53281,Binangun,Jawa Tengah
53281,Bantarsari,Jawa Tengah
53281,Binangun,Jawa Tengah
53281,Binangun,Jawa Tengah
53281,Binangun,Jawa Tengah
53281,Binangun,Jawa Tengah
53281,Binangun,Jawa Tengah
53281,Binangun,Jawa Tengah
53281,Bantarsari,Jawa Tengah
53281,Binangun,Jawa Tengah
53281,Binangun,Jawa Tengah
53281,Binangun,Jawa Tengah
53281,Binangun,Jawa Tengah
53282,Kroya,Jawa Tengah
53282,Kroya,Jawa Tengah
53282,Kroya,Jawa Tengah
53282,Kroya,Jawa Tengah
53282,Kroya,Jawa Tengah
53282,Kroya,Jawa Tengah
53282,Kroya,Jawa Tengah
53282,Kroya,Jawa Tengah
53282,Kroya,Jawa Tengah
53282,Kroya,Jawa Tengah
53282,Kroya,Jawa Tengah
53282,Kroya,Jawa Tengah
53282,Kroya,Jawa Tengah
53282,Kroya,Jawa Tengah
53282,Kroya,Jawa Tengah
53282,Kroya,Jawa Tengah
53282,Kroya,Jawa Tengah
53283,Nusawungu,Jawa Tengah
53283,Nusawungu,Jawa Tengah
53283,Nusawungu,Jawa Tengah
53283,Nusawungu,Jawa Tengah
53283,Nusawungu,Jawa Tengah
53283,Nusawungu,Jawa Tengah
53283,Nusawungu,Jawa Tengah
53283,Nusawungu,Jawa Tengah
53283,Nusawungu,Jawa Tengah
53283,Nusawungu,Jawa Tengah
53283,Nusawungu,Jawa Tengah
53283,Nusawungu,Jawa Tengah
53283,Nusawungu,Jawa Tengah
53283,Nusawungu,Jawa Tengah
53283,Nusawungu,Jawa Tengah
53283,Nusawungu,Jawa Tengah
53283,Nusawungu,Jawa Tengah
42411,Jombang,Banten
42412,Jombang,Banten
42413,Jombang,Banten
42414,Jombang,Banten
42415,Cilegon,Banten
42416,Cilegon,Banten
42416,Jombang,Banten
42417,Cilegon,Banten
42418,Cilegon,Banten
42419,Cilegon,Banten
42422,Cibeber,Banten
42423,Cibeber,Banten
42424,Cibeber,Banten
42425,Cibeber,Banten
42426,Cibeber,Banten
42427,Cibeber,Banten
42431,Pulomerak,Banten
42431,Purwakarta,Banten
42433,Purwakarta,Banten
42434,Purwakarta,Banten
42436,Gerogol,Banten
42436,Gerogol,Banten
42436,Gerogol,Banten
42437,Purwakarta,Banten
42437,Purwakarta,Banten
42437,Purwakarta,Banten
42438,Gerogol,Banten
42438,Pulomerak,Banten
42438,Pulomerak,Banten
42439,Pulomerak,Banten
42441,Ciwandan,Banten
42441,Citangkil,Banten
42441,Citangkil,Banten
42442,Citangkil,Banten
42442,Citangkil,Banten
42443,Citangkil,Banten
42443,Citangkil,Banten
42444,Citangkil,Banten
42445,Ciwandan,Banten
42445,Ciwandan,Banten
42446,Ciwandan,Banten
42446,Ciwandan,Banten
42447,Ciwandan,Banten
40511,Cimahi Utara,Jawa Barat
40512,Cimahi Utara,Jawa Barat
40513,Cimahi Utara,Jawa Barat
40514,Cimahi Utara,Jawa Barat
40521,Cimahi Tengah,Jawa Barat
40522,Cimahi Tengah,Jawa Barat
40523,Cimahi Tengah,Jawa Barat
40524,Cimahi Tengah,Jawa Barat
40525,Cimahi Tengah,Jawa Barat
40526,Cimahi Tengah,Jawa Barat
40531,Cimahi Selatan,Jawa Barat
40532,Cimahi Selatan,Jawa Barat
40533,Cimahi Selatan,Jawa Barat
40534,Cimahi Selatan,Jawa Barat
40535,Cimahi Selatan,Jawa Barat
45111,Lemahwungkuk,Jawa Barat
45112,Lemahwungkuk,Jawa Barat
45113,Lemahwungkuk,Jawa Barat
45114,Lemahwungkuk,Jawa Barat
45115,Pekalipan,Jawa Barat
45116,Pekalipan,Jawa Barat
45117,Pekalipan,Jawa Barat
45118,Pekalipan,Jawa Barat
45121,Kejaksan,Jawa Barat
45121,Kejaksan,Jawa Barat
45122,Kejaksan,Jawa Barat
45123,Kejaksan,Jawa Barat
45131,Kesambi,Jawa Barat
45131,Kesambi,Jawa Barat
45132,Kesambi,Jawa Barat
45133,Kesambi,Jawa Barat
45134,Kesambi,Jawa Barat
45141,Harjamukti,Jawa Barat
45142,Harjamukti,Jawa Barat
45143,Harjamukti,Jawa Barat
45144,Harjamukti,Jawa Barat
45145,Harjamukti,Jawa Barat
45151,Gunung Jati (Cirebon Utara),Jawa Barat
45151,Gunung Jati (Cirebon Utara),Jawa Barat
45151,Gunung Jati (Cirebon Utara),Jawa Barat
45151,Gunung Jati (Cirebon Utara),Jawa Barat
45151,Gunung Jati (Cirebon Utara),Jawa Barat
45151,Gunung Jati (Cirebon Utara),Jawa Barat
45151,Gunung Jati (Cirebon Utara),Jawa Barat
45151,Gunung Jati (Cirebon Utara),Jawa Barat
45151,Gunung Jati (Cirebon Utara),Jawa Barat
45151,Gunung Jati (Cirebon Utara),Jawa Barat
45151,Gunung Jati (Cirebon Utara),Jawa Barat
45151,Gunung Jati (Cirebon Utara),Jawa Barat
45151,Suranenggala,Jawa Barat
45151,Suranenggala,Jawa Barat
45151,Gunung Jati (Cirebon Utara),Jawa Barat
45152,Kapetakan,Jawa Barat
45152,Kapetakan,Jawa Barat
45152,Kapetakan,Jawa Barat
45152,Kapetakan,Jawa Barat
45152,Kapetakan,Jawa Barat
45152,Kapetakan,Jawa Barat
45152,Suranenggala,Jawa Barat
45152,Suranenggala,Jawa Barat
45152,Kapetakan,Jawa Barat
45152,Suranenggala,Jawa Barat
45152,Kapetakan,Jawa Barat
45152,Kapetakan,Jawa Barat
45152,Suranenggala,Jawa Barat
45152,Suranenggala,Jawa Barat
45152,Suranenggala,Jawa Barat
45152,Suranenggala,Jawa Barat
45152,Suranenggala,Jawa Barat
45152,Suranenggala,Jawa Barat
45153,Tengah Tani,Jawa Barat
45153,Tengah Tani,Jawa Barat
45153,Tengah Tani,Jawa Barat
45153,Tengah Tani,Jawa Barat
45153,Tengah Tani,Jawa Barat
45153,Kedawung,Jawa Barat
45153,Tengah Tani,Jawa Barat
45153,Kedawung,Jawa Barat
45153,Kedawung,Jawa Barat
45153,Kedawung,Jawa Barat
45153,Tengah Tani,Jawa Barat
45153,Kedawung,Jawa Barat
45153,Tengah Tani,Jawa Barat
45153,Kedawung,Jawa Barat
45153,Kedawung,Jawa Barat
45153,Kedawung,Jawa Barat
45154,Plered,Jawa Barat
45154,Plered,Jawa Barat
45154,Plered,Jawa Barat
45154,Weru,Jawa Barat
45154,Weru,Jawa Barat
45154,Weru,Jawa Barat
45154,Weru,Jawa Barat
45154,Plered,Jawa Barat
45154,Plered,Jawa Barat
45154,Plered,Jawa Barat
45154,Weru,Jawa Barat
45154,Plered,Jawa Barat
45154,Weru,Jawa Barat
45154,Plered,Jawa Barat
45154,Plered,Jawa Barat
45154,Weru,Jawa Barat
45154,Weru,Jawa Barat
45154,Plered,Jawa Barat
45155,Plumbon,Jawa Barat
45155,Plumbon,Jawa Barat
45155,Plumbon,Jawa Barat
45155,Depok,Jawa Barat
45155,Plumbon,Jawa Barat
45155,Depok,Jawa Barat
45155,Depok,Jawa Barat
45155,Plumbon,Jawa Barat
45155,Plumbon,Jawa Barat
45155,Plumbon,Jawa Barat
45155,Depok,Jawa Barat
45155,Depok,Jawa Barat
45155,Depok,Jawa Barat
45155,Plumbon,Jawa Barat
45155,Depok,Jawa Barat
45155,Plumbon,Jawa Barat
45155,Depok,Jawa Barat
45155,Plumbon,Jawa Barat
45155,Plumbon,Jawa Barat
45155,Plumbon,Jawa Barat
45155,Plumbon,Jawa Barat
45155,Plumbon,Jawa Barat
45155,Plumbon,Jawa Barat
45155,Depok,Jawa Barat
45155,Depok,Jawa Barat
45155,Depok,Jawa Barat
45155,Depok,Jawa Barat
45156,Jamblang,Jawa Barat
45156,Jamblang,Jawa Barat
45156,Klangenan,Jawa Barat
45156,Jamblang,Jawa Barat
45156,Jamblang,Jawa Barat
45156,Klangenan,Jawa Barat
45156,Jamblang,Jawa Barat
45156,Klangenan,Jawa Barat
45156,Klangenan,Jawa Barat
45156,Klangenan,Jawa Barat
45156,Klangenan,Jawa Barat
45156,Jamblang,Jawa Barat
45156,Klangenan,Jawa Barat
45156,Klangenan,Jawa Barat
45156,Jamblang,Jawa Barat
45156,Klangenan,Jawa Barat
45156,Jamblang,Jawa Barat
45161,Palimanan,Jawa Barat
45161,Palimanan,Jawa Barat
45161,Palimanan,Jawa Barat
45161,Palimanan,Jawa Barat
45161,Gempol,Jawa Barat
45161,Palimanan,Jawa Barat
45161,Gempol,Jawa Barat
45161,Gempol,Jawa Barat
45161,Gempol,Jawa Barat
45161,Gempol,Jawa Barat
45161,Palimanan,Jawa Barat
45161,Palimanan,Jawa Barat
45161,Gempol,Jawa Barat
45161,Palimanan,Jawa Barat
45161,Palimanan,Jawa Barat
45161,Palimanan,Jawa Barat
45161,Palimanan,Jawa Barat
45161,Palimanan,Jawa Barat
45161,Gempol,Jawa Barat
45161,Gempol,Jawa Barat
45162,Arjawinangun,Jawa Barat
45162,Arjawinangun,Jawa Barat
45162,Arjawinangun,Jawa Barat
45162,Arjawinangun,Jawa Barat
45162,Arjawinangun,Jawa Barat
45162,Arjawinangun,Jawa Barat
45162,Arjawinangun,Jawa Barat
45162,Arjawinangun,Jawa Barat
45162,Arjawinangun,Jawa Barat
45162,Arjawinangun,Jawa Barat
45162,Arjawinangun,Jawa Barat
45163,Panguragan,Jawa Barat
45163,Panguragan,Jawa Barat
45163,Panguragan,Jawa Barat
45163,Panguragan,Jawa Barat
45163,Panguragan,Jawa Barat
45163,Panguragan,Jawa Barat
45163,Panguragan,Jawa Barat
45163,Panguragan,Jawa Barat
45163,Panguragan,Jawa Barat
45164,Gegesik,Jawa Barat
